entry_ts,entry,stop,target1,target1_name,direction,entry_tf,rr,near_level,outcome,exit_price,exit_ts,pnl_pts,pnl_dollars,risk_pts,mfe_pts,mae_pts,mfe_r,mae_r,r_multiple,bars_held,reached_0_5r,reached_1r,reached_2r,reached_3r,signal_type,quality,regime,adx
2024-01-24 15:00:00,4898.75,4895.0,4907.74,D_FR1,LONG,1h,2.4,D_PP,LOSS,4895.0,2024-01-24 16:00:00,-3.75,-18.75,3.75,3.0,9.5,0.8,2.53,-1.0,1,True,False,False,False,pivot,C,trending,30.7
2024-01-30 12:00:00,4944.5,4940.5,4958.0,D_FR1,LONG,1h,3.38,W_FR2,LOSS,4940.5,2024-01-30 16:00:00,-4.0,-20.0,4.0,12.75,11.5,3.19,2.88,-1.0,4,True,True,True,True,pivot,C,trending,36.9
2024-02-05 08:00:00,4965.0,4963.0,4970.83,D_PP,LONG,1h,2.91,D_FS1,WIN,4970.83,2024-02-05 09:00:00,5.83,29.15,2.0,8.0,1.25,4.0,0.62,2.91,1,True,True,True,True,pivot,C,trending,38.9
2024-02-08 12:00:00,5008.25,5003.75,5020.45,D_FR1,LONG,1h,2.71,M_FR2,WIN,5020.45,2024-02-09 03:00:00,12.2,61.0,4.5,15.25,0.75,3.39,0.17,2.71,14,True,True,True,True,pivot,C,trending,39.8
2024-02-12 10:00:00,5052.0,5039.5,5077.68,W_FR2,LONG,1h,2.05,W_FR1,LOSS,5039.5,2024-02-12 14:00:00,-12.5,-62.5,12.5,14.5,18.5,1.16,1.48,-1.0,4,True,True,False,False,pivot,C,trending,45.0
2024-03-08 11:00:00,5151.0,5141.75,5171.42,W_FR2,LONG,1h,2.21,W_FR1,LOSS,5141.75,2024-03-08 12:00:00,-9.25,-46.25,9.25,8.75,17.5,0.95,1.89,-1.0,1,True,False,False,False,pivot,C,trending,33.8
2024-04-16 14:00:00,5116.0,5123.0,5078.65,D_FS1,SHORT,1h,5.34,W_FS2,WIN,5078.65,2024-04-17 02:00:00,37.35,186.75,7.0,40.25,0.5,5.75,0.07,5.34,11,True,True,True,True,pivot,C,trending,48.6
2024-07-09 14:00:00,5632.25,5629.25,5640.85,D_FR1,LONG,1h,2.87,D_PP,LOSS,5629.25,2024-07-09 15:00:00,-3.0,-15.0,3.0,1.75,4.0,0.58,1.33,-1.0,1,True,False,False,False,pivot,C,trending,68.3
2024-08-28 09:00:00,5638.5,5633.5,5649.02,D_FR1,LONG,1h,2.1,D_PP,LOSS,5633.5,2024-08-28 10:00:00,-5.0,-25.0,5.0,2.25,16.5,0.45,3.3,-1.0,1,False,False,False,False,pivot,C,trending,32.5
2025-03-07 15:00:00,5775.25,5791.5,5742.75,W_S2,SHORT,1h,2.0,D_PP,WIN,5742.75,2025-03-09 18:00:00,32.5,162.5,16.25,52.25,1.75,3.22,0.11,2.0,2,True,True,True,True,pivot,C,trending,50.7
2025-03-13 08:00:00,5594.75,5610.0,5557.2,D_FS1,SHORT,1h,2.46,D_PP,WIN,5557.2,2025-03-13 10:00:00,37.55,187.75,15.25,38.5,10.25,2.52,0.67,2.46,2,True,True,True,False,pivot,C,trending,67.2
2025-04-17 14:00:00,5333.0,5360.0,5273.5,D_FS1,SHORT,1h,2.2,SMMA21,WIN,5273.5,2025-04-20 18:00:00,59.5,297.5,27.0,60.0,2.5,2.22,0.09,2.2,3,True,True,True,False,pullback,C,trending,27.8
2025-06-27 14:00:00,6187.25,6183.25,6206.82,D_FR1,LONG,1h,4.89,D_PP,WIN,6206.82,2025-06-27 15:00:00,19.57,97.85,4.0,39.5,2.0,9.88,0.5,4.89,1,True,True,True,True,pivot,C,trending,37.5
2025-08-07 10:00:00,6371.25,6367.5,6393.45,D_FR1,LONG,1h,5.92,D_PP,LOSS,6367.5,2025-08-07 11:00:00,-3.75,-18.75,3.75,3.25,14.5,0.87,3.87,-1.0,1,True,False,False,False,pivot,C,trending,34.8
2025-09-12 15:00:00,6587.5,6582.25,6599.86,D_FR1,LONG,1h,2.35,M_FR2,WIN,6599.86,2025-09-15 03:00:00,12.36,61.8,5.25,13.5,2.25,2.57,0.43,2.35,11,True,True,True,False,pivot,C,trending,28.5
2025-10-21 09:00:00,6765.25,6761.0,6786.26,D_FR1,LONG,1h,4.94,W_FR1,LOSS,6761.0,2025-10-21 10:00:00,-4.25,-21.25,4.25,21.25,6.25,5.0,1.47,-1.0,1,True,True,True,True,pivot,C,trending,38.5
2025-12-22 10:00:00,6918.75,6903.0,6955.57,W_FR2,LONG,1h,2.34,D_R3,WIN,6955.57,2025-12-23 13:00:00,36.82,184.1,15.75,40.5,5.5,2.57,0.35,2.34,26,True,True,True,False,pivot,B,neutral,22.1
2025-12-26 11:00:00,6976.75,6972.75,6985.36,M_FR2,LONG,1h,2.15,D_PP,LOSS,6972.75,2025-12-26 12:00:00,-4.0,-20.0,4.0,2.0,6.25,0.5,1.56,-1.0,1,True,False,False,False,pivot,C,trending,32.2
2026-03-03 13:00:00,6836.25,6843.0,6807.72,W_FS1,SHORT,1h,4.23,D_PP,LOSS,6843.0,2026-03-03 14:00:00,-6.75,-33.75,6.75,20.25,13.5,3.0,2.0,-1.0,1,True,True,True,True,pivot,C,trending,44.9
2026-03-31 07:00:00,6453.5,6467.0,6426.0,D_PP,SHORT,1h,2.04,M_S3,LOSS,6467.0,2026-03-31 08:00:00,-13.5,-67.5,13.5,15.75,16.0,1.17,1.19,-1.0,1,True,True,False,False,pivot,C,neutral,22.5
